组合ID,主题,主题序号,组合内顺序,主题组合显示,剧本数量,主要核心主题
combo-0c82703a,战争武略,7,1,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-0c82703a,恩怨报偿,8,2,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-0c82703a,宗教祥瑞,11,3,战争武略 + 恩怨报偿 + 宗教祥瑞,5,战争武略
combo-324cb07c,政治权力,2,1,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-324cb07c,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-324cb07c,战争武略,7,3,政治权力 + 婚恋姻缘 + 战争武略,5,战争武略
combo-c3ca3efe,政治权力,2,1,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-c3ca3efe,礼教品格,10,2,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-c3ca3efe,文人世情,12,3,政治权力 + 礼教品格 + 文人世情,5,文人世情
combo-2371bab9,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,战争武略,7,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-2371bab9,善恶转化,9,4,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,5,战争武略
combo-bdad6938,政治权力,2,1,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,家庭亲情,4,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-bdad6938,战争武略,7,4,政治权力 + 婚恋姻缘 + 家庭亲情 + 战争武略,5,婚恋姻缘
combo-1cdee729,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-1cdee729,礼教品格,10,4,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,5,家庭亲情
combo-806f22b1,恩怨报偿,8,1,恩怨报偿 + 宗教祥瑞,4,宗教祥瑞
combo-806f22b1,宗教祥瑞,11,2,恩怨报偿 + 宗教祥瑞,4,宗教祥瑞
combo-c3c02f8a,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-c3c02f8a,公案冤狱,5,2,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-c3c02f8a,文人世情,12,3,家庭亲情 + 公案冤狱 + 文人世情,4,公案冤狱
combo-6e39cca7,家庭亲情,4,1,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-6e39cca7,恩怨报偿,8,2,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-6e39cca7,善恶转化,9,3,家庭亲情 + 恩怨报偿 + 善恶转化,4,善恶转化
combo-50f90a47,家庭亲情,4,1,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
combo-50f90a47,恩怨报偿,8,2,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
combo-50f90a47,文人世情,12,3,家庭亲情 + 恩怨报偿 + 文人世情,4,恩怨报偿
combo-a1535440,家庭亲情,4,1,家庭亲情 + 战争武略 + 文人世情,4,战争武略
combo-a1535440,战争武略,7,2,家庭亲情 + 战争武略 + 文人世情,4,战争武略
combo-a1535440,文人世情,12,3,家庭亲情 + 战争武略 + 文人世情,4,战争武略
combo-581a7775,忠义家国,1,1,忠义家国 + 战争武略 + 礼教品格,4,战争武略
combo-581a7775,战争武略,7,2,忠义家国 + 战争武略 + 礼教品格,4,战争武略
combo-581a7775,礼教品格,10,3,忠义家国 + 战争武略 + 礼教品格,4,战争武略
combo-04645de9,政治权力,2,1,政治权力 + 战争武略 + 宗教祥瑞,4,战争武略
combo-04645de9,战争武略,7,2,政治权力 + 战争武略 + 宗教祥瑞,4,战争武略
combo-04645de9,宗教祥瑞,11,3,政治权力 + 战争武略 + 宗教祥瑞,4,战争武略
combo-611567e3,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,除暴侠义
combo-611567e3,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,除暴侠义
combo-611567e3,除暴侠义,6,3,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,除暴侠义
combo-611567e3,恩怨报偿,8,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,除暴侠义
combo-a9e4454b,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,除暴侠义
combo-a9e4454b,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,除暴侠义
combo-a9e4454b,除暴侠义,6,3,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,除暴侠义
combo-a9e4454b,战争武略,7,4,婚恋姻缘 + 家庭亲情 + 除暴侠义 + 战争武略,4,除暴侠义
combo-12edf753,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,战争武略
combo-12edf753,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,战争武略
combo-12edf753,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,战争武略
combo-12edf753,善恶转化,9,4,政治权力 + 家庭亲情 + 战争武略 + 善恶转化,4,战争武略
combo-86f31bc1,政治权力,2,1,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,4,善恶转化
combo-86f31bc1,战争武略,7,2,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,4,善恶转化
combo-86f31bc1,善恶转化,9,3,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,4,善恶转化
combo-86f31bc1,宗教祥瑞,11,4,政治权力 + 战争武略 + 善恶转化 + 宗教祥瑞,4,善恶转化
combo-e95c9458,公案冤狱,5,1,公案冤狱 + 恩怨报偿,3,恩怨报偿
combo-e95c9458,恩怨报偿,8,2,公案冤狱 + 恩怨报偿,3,恩怨报偿
combo-e8776579,婚恋姻缘,3,1,婚恋姻缘 + 恩怨报偿,3,婚恋姻缘
combo-e8776579,恩怨报偿,8,2,婚恋姻缘 + 恩怨报偿,3,婚恋姻缘
combo-8b2136d5,礼教品格,10,1,礼教品格 + 文人世情,3,文人世情
