scene_id,play_id,scene_no,scene_label,stage_type,conflict_type,summary,character_ids,relation_ids,performance_density,role_activity,conflict_strength,relation_change_strength,emotion_strength,plot_strength
01040005_scene_12,01040005,12,第十二场,发展,权力冲突,院子奉了大人命，去买使女人,"[""char_942777213b"", ""char_9ece7821a2""]","[""rel_84159ae77e""]",0.2,0.975,0.1667,0.2583,0.2143,0.3938
01040005_scene_13,01040005,13,第十三场,发展,伦理冲突,张夫人为了一件事，常挂一片心,"[""char_561db21d7e"", ""char_942777213b"", ""char_8b70b310ec"", ""char_9ece7821a2"", ""char_471ed1dfa7"", ""char_4753bacca3""]","[""rel_15cf70140f"", ""rel_84159ae77e"", ""rel_213a5fe5a5"", ""rel_06279896f0"", ""rel_6c354fcbb4""]",0.6,1,0.1111,0.6389,0,0.4878
01040005_scene_14,01040005,14,第十四场,结局,权力冲突,张小莲姐妹双双游花船，思想相公挂心怀,"[""char_a9d869411c"", ""char_9ece7821a2"", ""char_8b70b310ec"", ""char_561db21d7e"", ""char_471ed1dfa7"", ""char_4753bacca3""]","[""rel_15cf70140f"", ""rel_46fbb0b6fe"", ""rel_60bd41bd13"", ""rel_213a5fe5a5"", ""rel_06279896f0"", ""rel_6c354fcbb4""]",0.6,1,0.7222,0.8528,0.5,0.7156
02008006_scene_01,02008006,1,第一场,开端,军事冲突,苏逢吉撒放银乌去，捉拿金燕归,"[""char_416840313a"", ""char_382070ef90"", ""char_42107f58d6"", ""char_2bb46abcd4"", ""char_2d81db9dad"", ""char_d704060299""]","[""rel_80ceab37ec"", ""rel_66c5e8e6cd"", ""rel_74c8e8d90d"", ""rel_9baccbe61f"", ""rel_13495ee2f9""]",0.3333,0.8875,0.2222,0.4111,0.2857,0.4651
02008006_scene_02,02008006,2,第二场,发展,军事冲突,史彦超昏王无道，杀我母，冤仇未报,"[""char_909ee59582"", ""char_53048a0372"", ""char_416840313a"", ""char_d704060299""]","[""rel_80ceab37ec"", ""rel_2bfa16b4b3"", ""rel_872e77b533""]",0.2222,0.7,1,0.5722,0.0714,0.5885
02008006_scene_03,02008006,3,第三场,发展,军事冲突,柴荣中军过来,"[""char_d704060299"", ""char_ab23c290e6"", ""char_d73c72a05a"", ""char_382070ef90"", ""char_53048a0372"", ""char_909ee59582"", ""char_416840313a""]","[""rel_80ceab37ec"", ""rel_2bfa16b4b3"", ""rel_872e77b533"", ""rel_969fb2e0e9"", ""rel_7e617026f6""]",0.3889,1,1,0.7389,0.4286,0.7004
02008006_scene_04,02008006,4,第四场,发展,权力冲突,苏妃昨日里内侍报一信，他言道我母亲重病临身,"[""char_e8f1182c6b"", ""char_42107f58d6""]","[""rel_9eca7eaa8f""]",0.1111,0.45,0.1111,0.15,0.2857,0.3595
02008006_scene_05,02008006,5,第五场,发展,权力冲突,苏夫人思姣儿得下了冤孽病症，不知何日得安宁,"[""char_e8f1182c6b"", ""char_416840313a"", ""char_8f58850346""]","[""rel_d3d5e30f7c""]",0.1667,0.85,0,0.1667,0.1429,0.3298
02008006_scene_06,02008006,6,第六场,发展,军事冲突,刘瑞莲怀藏孙膑志，智谋凌云高,"[""char_945af2d6ee"", ""char_416840313a""]",[],0.1111,0.075,0.0556,0.1306,0,0.3028
02008006_scene_07,02008006,7,第七场,发展,军事冲突,苏妃在宫中我奉了万岁命，苏妃回府中探望老娘亲,"[""char_e8f1182c6b"", ""char_945af2d6ee""]",[],0.1111,0.9,0.2222,0.1889,0.5,0.4194
02008006_scene_08,02008006,8,第八场,发展,军事冲突,刘承佑等候梓童宫庭进，将身且坐后宫等,"[""char_42107f58d6"", ""char_945af2d6ee"", ""char_e8f1182c6b"", ""char_d704060299""]","[""rel_9eca7eaa8f"", ""rel_7757b78a5d""]",0.2222,1,1,0.5722,0.7143,0.6849
02008006_scene_09,02008006,9,第九场,发展,军事冲突,刘承佑内侍摆驾,"[""char_42107f58d6"", ""char_6b9907d850"", ""char_2d81db9dad"", ""char_416840313a"", ""char_2bb46abcd4"", ""char_d704060299""]","[""rel_80ceab37ec"", ""rel_66c5e8e6cd"", ""rel_74c8e8d90d"", ""rel_9baccbe61f"", ""rel_f4a94ce850""]",0.3333,0.775,0.0556,0.3528,0,0.3806
02008006_scene_10,02008006,10,第十场,发展,军事冲突,王博东气冲霄汉，文光射斗牛,"[""char_6b9907d850""]",[],0.0556,0.0875,0.1111,0.0944,0,0.2972
02008006_scene_11,02008006,11,第十一场,发展,军事冲突,史彦超帐中奉了元帅命，史彦超攻打城池要小心,"[""char_53048a0372"", ""char_6b9907d850"", ""char_d704060299""]","[""rel_2bfa16b4b3""]",0.1667,0.2125,0.1667,0.225,0,0.35
02008006_scene_12,02008006,12,第十二场,发展,军事冲突,苏逢吉心中恼恨赵弘殷，纵子行凶胡乱行,"[""char_416840313a"", ""char_2d81db9dad"", ""char_d704060299"", ""char_6b9907d850""]","[""rel_80ceab37ec"", ""rel_74c8e8d90d""]",0.2222,0.5125,0.2778,0.3194,0.0714,0.4079
02008006_scene_13,02008006,13,第十三场,发展,军事冲突,高庆老太师，随咱家来,"[""char_42107f58d6"", ""char_945af2d6ee"", ""char_416840313a"", ""char_e8f1182c6b"", ""char_06cfef4e20"", ""char_10190e497e"", ""char_d704060299""]","[""rel_80ceab37ec"", ""rel_66c5e8e6cd"", ""rel_9eca7eaa8f"", ""rel_7757b78a5d"", ""rel_27cac545a2"", ""rel_6c25f31108"", ""rel_c00f0edc1a""]",0.3889,1,0.1111,0.4278,0.0714,0.4246
02008006_scene_14,02008006,14,第十四场,发展,军事冲突,王福高公公,"[""char_eb9e809c02"", ""char_945af2d6ee"", ""char_10190e497e"", ""char_cf6cec5844"", ""char_06cfef4e20"", ""char_416840313a""]","[""rel_6c25f31108"", ""rel_4e327e0fd9"", ""rel_302997c4d0""]",0.3333,1,0.0556,0.3528,0,0.3806
02008006_scene_15,02008006,15,第十五场,发展,权力冲突,刘承佑内侍带路御街进，不刻来到太师的门,"[""char_42107f58d6"", ""char_06cfef4e20""]","[""rel_27cac545a2""]",0.1111,0.25,0,0.1111,0,0.2889
02008006_scene_16,02008006,16,第十六场,发展,军事冲突,苏逢吉杨大人，待昏王来时，大家必须要准备才是,"[""char_416840313a"", ""char_42107f58d6"", ""char_2d81db9dad"", ""char_06cfef4e20"", ""char_d704060299""]","[""rel_80ceab37ec"", ""rel_66c5e8e6cd"", ""rel_74c8e8d90d"", ""rel_27cac545a2""]",0.2778,0.5875,0.0556,0.2972,0,0.3611
02008006_scene_17,02008006,17,第十七场,发展,军事冲突,高庆且住,"[""char_06cfef4e20"", ""char_42107f58d6"", ""char_416840313a"", ""char_2d81db9dad""]","[""rel_66c5e8e6cd"", ""rel_27cac545a2""]",0.2222,0.675,0.7222,0.475,0.1429,0.5298
